model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops,input_shape,output_shape,param_count
mobilenetv3s,onnxrt_cpu,71,features/features.10/block/block.1/block.1.0,"71. features.10/block/block.1/block.1.0 [conv]
params 0",conv,4.5605,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,72,features/features.10/block/block.1/block.1.2,"72. features.10/block/block.1/block.1.2 [act-eltwise]
params 0",act-eltwise,0.19829999999999998,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,73,features/features.10/block/block.2/avgpool,"73. features.10/block/block.2/avgpool [pool]
params 0",pool,0.09369999999999999,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,74,features/features.10/block/block.2/fc1,"74. features.10/block/block.2/fc1 [conv]
params 0",conv,0.3228,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,75,features/features.10/block/block.2/fc2,"75. features.10/block/block.2/fc2 [conv]
params 0",conv,0.2837,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,76,features/features.10/block/block.2,"76. features.10/block/block.2 [eltwise]
params 0",eltwise,0.16349999999999998,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,77,features/features.10/block/block.3/block.3.0,"77. features.10/block/block.3/block.3.0 [conv]
params 0",conv,0.9134,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,78,features/features.11/block/block.0/block.0.0,"78. features.11/block/block.0/block.0.0 [conv]
params 0",conv,0.7194,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,79,features/features.11/block/block.0/block.0.2,"79. features.11/block/block.0/block.0.2 [act-eltwise]
params 0",act-eltwise,0.2122,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,80,features/features.11/block/block.1/block.1.0,"80. features.11/block/block.1/block.1.0 [conv]
params 0",conv,4.5374,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,81,features/features.11/block/block.1/block.1.2,"81. features.11/block/block.1/block.1.2 [act-eltwise]
params 0",act-eltwise,0.1956,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,82,features/features.11/block/block.2/avgpool,"82. features.11/block/block.2/avgpool [pool]
params 0",pool,0.09269999999999999,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,83,features/features.11/block/block.2/fc1,"83. features.11/block/block.2/fc1 [conv]
params 0",conv,0.323,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,84,features/features.11/block/block.2/fc2,"84. features.11/block/block.2/fc2 [conv]
params 0",conv,0.2905,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,85,features/features.11/block/block.2,"85. features.11/block/block.2 [eltwise]
params 0",eltwise,0.1667,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,86,features/features.11/block/block.3/block.3.0,"86. features.11/block/block.3/block.3.0 [conv]
params 0",conv,0.8456,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,87,features/features.12/features.12.0,"87. features.12/features.12.0 [conv]
params 0",conv,0.7627999999999999,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,88,features/features.12/features.12.2,"88. features.12/features.12.2 [act-eltwise]
params 0",act-eltwise,0.2119,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,89,avgpool,"89. avgpool [pool]
params 0",pool,0.093,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,90,Flatten,"90. Flatten [shape]
params 0",shape,0.0393,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,91,classifier/classifier.0,"91. classifier/classifier.0 [fc]
params 0",fc,0.6159,0.0,0.0,3,,,0.0
