layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
11,features.1.block.1.scale_activation,Hardsigmoid,Hardsigmoid(),1x16x1x1,1x16x1x1,0,0,,,,,,,,False,100,0.269325,0.094789,0.241151,1.191169,0.250343,0.303476,0,0,1777375198.8657205
12,features.1.block.2.0,Conv2d,"Conv2d(16, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x16x56x56,1x16x56x56,256,256,16,16,1x1,1x1,0x0,1x1,1,False,100,0.466736,0.03085,0.430686,0.580949,0.45816,0.523764,0,0,1777375198.8664768
13,features.1.block.2.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x56x56,1x16x56x56,32,32,,,,,,,,True,100,0.41092,0.02572,0.383705,0.503135,0.399982,0.4633,0,0,1777375198.8669791
14,features.2.block.0.0,Conv2d,"Conv2d(16, 72, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x16x56x56,1x72x56x56,1152,1152,16,72,1x1,1x1,0x0,1x1,1,False,100,0.751868,0.020011,0.727358,0.843767,0.747124,0.79246,0,0,1777375198.8679159
15,features.2.block.0.1,BatchNorm2d,"BatchNorm2d(72, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x72x56x56,1x72x56x56,144,144,,,,,,,,True,100,0.436313,0.039051,0.384799,0.626992,0.432248,0.501961,0,0,1777375198.868499
16,features.2.block.0.2,ReLU,ReLU(inplace=True),1x72x56x56,1x72x56x56,0,0,,,,,,,,False,100,0.293753,0.208943,0.237504,1.880193,0.253755,0.323366,0,0,1777375198.8688893
17,features.2.block.1.0,Conv2d,"Conv2d(72, 72, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=72, bias=False)",1x72x56x56,1x72x28x28,648,648,72,72,3x3,2x2,1x1,1x1,72,False,100,0.458295,0.021671,0.424539,0.553136,0.451598,0.509285,0,0,1777375198.8694713
18,features.2.block.1.1,BatchNorm2d,"BatchNorm2d(72, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x72x28x28,1x72x28x28,144,144,,,,,,,,True,100,0.384809,0.030857,0.357559,0.50027,0.371961,0.463923,0,0,1777375198.869963
19,features.2.block.1.2,ReLU,ReLU(inplace=True),1x72x28x28,1x72x28x28,0,0,,,,,,,,False,100,0.244577,0.023194,0.223338,0.340319,0.233078,0.299159,0,0,1777375198.870314
20,features.2.block.2.0,Conv2d,"Conv2d(72, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x72x28x28,1x24x28x28,1728,1728,72,24,1x1,1x1,0x0,1x1,1,False,100,0.554399,0.037172,0.511677,0.663398,0.536808,0.626557,0,0,1777375198.8710146
21,features.2.block.2.1,BatchNorm2d,"BatchNorm2d(24, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.385443,0.024459,0.360372,0.477613,0.375737,0.445741,0,0,1777375198.8715217
22,features.3.block.0.0,Conv2d,"Conv2d(24, 88, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x88x28x28,2112,2112,24,88,1x1,1x1,0x0,1x1,1,False,100,0.453123,0.034197,0.421728,0.578709,0.440347,0.520492,0,0,1777375198.8722494
23,features.3.block.0.1,BatchNorm2d,"BatchNorm2d(88, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x88x28x28,1x88x28x28,176,176,,,,,,,,True,100,0.384261,0.027777,0.355111,0.467301,0.373106,0.45142,0,0,1777375198.8727365
24,features.3.block.0.2,ReLU,ReLU(inplace=True),1x88x28x28,1x88x28x28,0,0,,,,,,,,False,100,0.268106,0.175169,0.228963,1.996133,0.240109,0.303741,0,0,1777375198.8731127
25,features.3.block.1.0,Conv2d,"Conv2d(88, 88, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=88, bias=False)",1x88x28x28,1x88x28x28,792,792,88,88,3x3,1x1,1x1,1x1,88,False,100,0.491901,0.014418,0.478603,0.586887,0.489541,0.502561,0,0,1777375198.8737435
26,features.3.block.1.1,BatchNorm2d,"BatchNorm2d(88, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x88x28x28,1x88x28x28,176,176,,,,,,,,True,100,0.381254,0.024337,0.357455,0.457092,0.369747,0.433907,0,0,1777375198.8742356
27,features.3.block.1.2,ReLU,ReLU(inplace=True),1x88x28x28,1x88x28x28,0,0,,,,,,,,False,100,0.24264,0.032376,0.224015,0.512823,0.231515,0.276364,0,0,1777375198.8745868
