layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
features.3.block.2.1,BatchNorm2d,48,"[1, 24, 28, 28]","[1, 24, 28, 28]",0.3923,0.0466,0.3687,0.5875
features.4.block.0.0,Conv2d,2304,"[1, 24, 28, 28]","[1, 96, 28, 28]",0.6744,0.0589,0.6417,0.915
features.4.block.0.1,BatchNorm2d,192,"[1, 96, 28, 28]","[1, 96, 28, 28]",0.3961,0.0371,0.3719,0.5214
features.4.block.0.2,Hardswish,0,"[1, 96, 28, 28]","[1, 96, 28, 28]",0.2707,0.0179,0.2575,0.3265
features.4.block.1.0,Conv2d,2400,"[1, 96, 28, 28]","[1, 96, 14, 14]",0.4467,0.0092,0.4367,0.4758
features.4.block.1.1,BatchNorm2d,192,"[1, 96, 14, 14]","[1, 96, 14, 14]",0.3974,0.0273,0.3716,0.4524
features.4.block.1.2,Hardswish,0,"[1, 96, 14, 14]","[1, 96, 14, 14]",0.2623,0.0177,0.2492,0.3086
features.4.block.2.avgpool,AdaptiveAvgPool2d,0,"[1, 96, 14, 14]","[1, 96, 1, 1]",0.3498,0.02,0.3332,0.4015
features.4.block.2.fc1,Conv2d,2328,"[1, 96, 1, 1]","[1, 24, 1, 1]",0.7504,0.0492,0.6966,0.878
features.4.block.2.fc2,Conv2d,2400,"[1, 24, 1, 1]","[1, 96, 1, 1]",0.7143,0.03,0.6844,0.8049
features.4.block.2.activation,ReLU,0,"[1, 24, 1, 1]","[1, 24, 1, 1]",0.3024,0.0199,0.2856,0.3606
