layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
24,features.3.block.0.2,ReLU,ReLU(inplace=True),1x88x28x28,1x88x28x28,0,0,,,,,,,,False,100,0.234728,0.12491,0.159846,0.789233,0.169247,0.453909,0,0,1777275166.8615654
25,features.3.block.1.0,Conv2d,"Conv2d(88, 88, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=88, bias=False)",1x88x28x28,1x88x28x28,792,792,88,88,3x3,1x1,1x1,1x1,88,False,100,12.025214,4.955617,7.721752,21.79992,8.369029,20.506363,0,0,1777275166.882391
26,features.3.block.1.1,BatchNorm2d,"BatchNorm2d(88, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x88x28x28,1x88x28x28,176,176,,,,,,,,True,100,0.787715,0.800594,0.302975,5.146758,0.536728,1.952418,0,0,1777275166.8838286
27,features.3.block.1.2,ReLU,ReLU(inplace=True),1x88x28x28,1x88x28x28,0,0,,,,,,,,False,100,0.255019,0.108357,0.1612,0.586521,0.212217,0.465727,0,0,1777275166.8844178
28,features.3.block.2.0,Conv2d,"Conv2d(88, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x88x28x28,1x24x28x28,2112,2112,88,24,1x1,1x1,0x0,1x1,1,False,100,1.480741,1.730459,0.613397,12.810542,0.6416,4.785584,0,0,1777275166.8885875
29,features.3.block.2.1,BatchNorm2d,"BatchNorm2d(24, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.412842,0.531583,0.215004,4.671802,0.224847,1.262976,0,0,1777275166.8890007
30,features.4.block.0.0,Conv2d,"Conv2d(24, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x96x28x28,2304,2304,24,96,1x1,1x1,0x0,1x1,1,False,100,1.048282,0.791295,0.579282,7.044136,0.616495,1.769435,0,0,1777275166.889914
31,features.4.block.0.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x28x28,1x96x28x28,192,192,,,,,,,,True,100,0.430774,0.270271,0.280161,1.52159,0.296099,0.866451,0,0,1777275166.8906598
32,features.4.block.0.2,Hardswish,Hardswish(),1x96x28x28,1x96x28x28,0,0,,,,,,,,False,100,0.632707,0.422471,0.450789,4.001946,0.460841,1.076047,0,0,1777275166.8917937
33,features.4.block.1.0,Conv2d,"Conv2d(96, 96, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), groups=96, bias=False)",1x96x28x28,1x96x14x14,2400,2400,96,96,5x5,2x2,2x2,1x1,96,False,100,18.186085,6.569999,12.786165,45.970144,13.757017,28.052888,0,0,1777275166.9214795
34,features.4.block.1.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x14x14,1x96x14x14,192,192,,,,,,,,True,100,0.452436,0.537849,0.250629,4.845503,0.265838,0.925412,0,0,1777275166.922666
35,features.4.block.1.2,Hardswish,Hardswish(),1x96x14x14,1x96x14x14,0,0,,,,,,,,False,100,0.338294,0.608524,0.2424,5.321032,0.24839,0.289467,0,0,1777275166.9229972
36,features.4.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x96x14x14,1x96x1x1,0,0,,,,,,,,False,100,0.244082,0.025074,0.23167,0.449435,0.237816,0.271755,0,0,1777275166.9233499
37,features.4.block.2.fc1,Conv2d,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1))",1x96x1x1,1x24x1x1,2328,2328,96,24,1x1,1x1,0x0,1x1,1,True,100,0.296729,0.763239,0.205264,7.889777,0.216827,0.246692,0,0,1777275166.923654
38,features.4.block.2.activation,ReLU,ReLU(),1x24x1x1,1x24x1x1,0,0,,,,,,,,False,100,0.159004,0.793921,0.071876,8.058112,0.078257,0.082205,0,0,1777275166.9238474
39,features.4.block.2.fc2,Conv2d,"Conv2d(24, 96, kernel_size=(1, 1), stride=(1, 1))",1x24x1x1,1x96x1x1,2400,2400,24,96,1x1,1x1,0x0,1x1,1,True,100,0.174546,0.02534,0.160211,0.391413,0.16956,0.203411,0,0,1777275166.9240885
40,features.4.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x96x1x1,1x96x1x1,0,0,,,,,,,,False,100,0.134275,0.613963,0.066512,6.242819,0.071876,0.076866,0,0,1777275166.9242213
41,features.4.block.3.0,Conv2d,"Conv2d(96, 40, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x14x14,1x40x14x14,3840,3840,96,40,1x1,1x1,0x0,1x1,1,False,100,1.423123,1.870755,0.34636,10.884465,0.373704,5.689242,0,0,1777275166.926877
42,features.4.block.3.1,BatchNorm2d,"BatchNorm2d(40, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x40x14x14,1x40x14x14,80,80,,,,,,,,True,100,0.389878,0.544672,0.198077,2.664474,0.209691,2.43907,0,0,1777275166.9275672
43,features.5.block.0.0,Conv2d,"Conv2d(40, 240, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x40x14x14,1x240x14x14,9600,9600,40,240,1x1,1x1,0x0,1x1,1,False,100,0.964904,0.448619,0.606937,1.817167,0.647016,1.685434,0,0,1777275166.9292932
44,features.5.block.0.1,BatchNorm2d,"BatchNorm2d(240, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x240x14x14,1x240x14x14,480,480,,,,,,,,True,100,0.345568,0.216259,0.241411,1.348566,0.251723,0.62767,0,0,1777275166.9300025
45,features.5.block.0.2,Hardswish,Hardswish(),1x240x14x14,1x240x14x14,0,0,,,,,,,,False,100,0.416204,0.177227,0.307401,0.947204,0.315162,0.763928,0,0,1777275166.9308507
