co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj,dashboard_source,min_ms,max_ms,fps
0.059644,467.798374,,measured,91.7437,1.65,resnet50,97.39,200.0,91.7234,92.4823,93.9071,5098.97,6523.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/resnet50_ncnn_vulkan,ok,ok,0.5798,11.9289,93559.6748,clean_v2_without_tensorrt,,,
0.654594,5134.072248,,measured,1870.4927,24.42,resnet50,97.7,200.0,1865.3313,1964.9669,2017.126,2744.77,2912.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_pytorch_cpu,ok,ok,64.9888,130.9188,1026814.4496,clean_v2_without_tensorrt,,,
0.053673,420.964916,,measured,125.0999,125.64,resnet50,97.7,200.0,123.7422,130.2257,137.2161,3365.03,5212.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/resnet50_pytorch_cuda,ok,ok,7.1082,10.7346,84192.9833,clean_v2_without_tensorrt,,,
,297.232589031723,,measured,79.16491477966309,0.58,resnet50,121.75,,79.10153579711914,79.6591079711914,79.97282554626467,3754.6,4943.0,5W,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_5w_20260513_140821,ok,ok,0.72378797061277,,,tensorrt_only,78.38802337646484,85.59474182128906,12.63
,183.62542165531843,,measured,43.24811031341553,0.58,resnet50,61.14,,43.05567741394043,43.81516571044922,47.70521179199219,4245.86,4677.0,5W,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_5w_20260513_140821,ok,ok,0.770570946885763,,,tensorrt_only,42.65073013305664,48.24187469482422,23.12
,348.6241690601234,,measured,78.79206733703613,0.58,resnet50,115.83,,78.58806991577148,79.12075653076172,83.37752319335942,4424.61,4951.0,5W,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_5w_20260513_140821,ok,ok,1.5521673990378744,,,tensorrt_only,77.94234466552734,93.27489471435548,12.69
0.302646,2373.692586,,measured,645.7569,391.64,resnet50,97.41,200.0,645.0931,650.4729,652.9316,3675.83,4538.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/resnet50_onnxrt_cuda,ok,ok,1.8062,60.5292,474738.5171,clean_v2_without_tensorrt,,,
0.031982,250.837257,,measured,79.2332,681.11,resnet50,97.41,200.0,78.8426,82.3696,83.6819,3165.81,4769.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/resnet50_onnxrt_trt,ok,ok,1.2721,6.3964,50167.4514,clean_v2_without_tensorrt,,,
0.493621,3871.536785,,measured,1466.9802,198.24,resnet50,97.43,200.0,1459.8657,1522.7661,1550.7628,2639.12,2912.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_tflite_cpu,ok,ok,27.8836,98.7242,774307.3571,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,resnet50,,,,,,2266.0,2438.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/resnet50_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
0.377869,2963.680771,,measured,952.3457,12.12,resnet50,97.39,200.0,846.7708,1590.2119,1810.9589,3111.98,3514.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_ncnn_cpu,ok,ok,360.0332,75.5739,592736.1543,clean_v2_without_tensorrt,,,
0.060192,472.094098,,measured,133.6423,1.77,resnet50,97.39,200.0,133.5166,134.4607,134.6503,3532.52,4080.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/resnet50_ncnn_vulkan,ok,ok,0.3719,12.0384,94418.8195,clean_v2_without_tensorrt,,,
0.215751,1692.161748,,measured,363.3572,13.8,shufflenet_v2_x1_0,8.75,200.0,394.4917,424.636,457.1913,4657.02,4912.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_pytorch_cpu,ok,ok,66.8335,43.1501,338432.3495,clean_v2_without_tensorrt,,,
0.015231,119.456713,,measured,30.7417,11.7,shufflenet_v2_x1_0,8.75,200.0,29.8055,34.8427,39.2838,3885.82,4864.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_pytorch_cuda,ok,ok,2.2414,3.0461,23891.3425,clean_v2_without_tensorrt,,,
,29.9142330078475,,measured,8.292624464035034,0.58,shufflenet_v2_x1_0,9.17,,8.175755023956299,8.448867177963256,10.69030818939209,3607.33,6369.0,MAXN,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/shufflenet_v2_x1_0_10w_20260513_141718,ok,ok,0.4441776814349414,,,tensorrt_only,8.096405982971191,10.736249923706056,120.59
,47.573995316476825,,measured,7.516826562881469,0.58,shufflenet_v2_x1_0,5.35,,7.335546970367432,8.128719234466553,9.120629110336305,6329.0,6518.0,MAXN,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/shufflenet_v2_x1_0_10w_20260513_141718,ok,ok,0.3886927420544283,,,tensorrt_only,7.237343788146973,9.456250190734863,133.03
