RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1731/2161 POM_5V_GPU 82/94 POM_5V_CPU 164/502
RAM 1695/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [11%@921,1%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1851/2155 POM_5V_GPU 82/94 POM_5V_CPU 246/497
RAM 1714/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [18%@921,12%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1810/2148 POM_5V_GPU 82/93 POM_5V_CPU 246/492
RAM 2125/3964MB (lfb 1x2MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [36%@921,66%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 12%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33C POM_5V_IN 2613/2157 POM_5V_GPU 163/95 POM_5V_CPU 694/496
RAM 2575/3964MB (lfb 1x2MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [65%@921,45%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33C POM_5V_IN 2293/2159 POM_5V_GPU 122/95 POM_5V_CPU 491/496
RAM 2916/3964MB (lfb 1x2MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [43%@921,62%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33C POM_5V_IN 2334/2162 POM_5V_GPU 122/96 POM_5V_CPU 531/497
RAM 3112/3964MB (lfb 5x512kB) SWAP 504/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [51%@921,60%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 5%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@32.75C POM_5V_IN 2293/2165 POM_5V_GPU 122/96 POM_5V_CPU 532/497
RAM 3383/3964MB (lfb 1x512kB) SWAP 544/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [65%@921,61%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 2334/2167 POM_5V_GPU 122/97 POM_5V_CPU 491/497
RAM 3380/3964MB (lfb 2x512kB) SWAP 546/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [88%@921,56%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.25C POM_5V_IN 2609/2175 POM_5V_GPU 81/96 POM_5V_CPU 610/499
RAM 3378/3964MB (lfb 1x512kB) SWAP 548/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@921,42%@921,off,off] EMC_FREQ 5%@1600 GR3D_FREQ 34%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33C POM_5V_IN 2812/2186 POM_5V_GPU 610/105 POM_5V_CPU 529/499
RAM 3377/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@921,11%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 1731/2178 POM_5V_GPU 82/104 POM_5V_CPU 164/494
RAM 3377/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,9%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 1731/2171 POM_5V_GPU 82/104 POM_5V_CPU 164/489
RAM 3378/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 1731/2164 POM_5V_GPU 82/104 POM_5V_CPU 164/483
RAM 3380/3964MB (lfb 1x512kB) SWAP 548/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [3%@921,11%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@33C POM_5V_IN 1731/2157 POM_5V_GPU 82/103 POM_5V_CPU 164/478
RAM 3379/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [10%@921,13%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 1725/2150 POM_5V_GPU 82/103 POM_5V_CPU 164/474
RAM 3378/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@32.5C POM_5V_IN 1731/2144 POM_5V_GPU 82/103 POM_5V_CPU 164/469
RAM 3379/3964MB (lfb 1x512kB) SWAP 549/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 1728/2138 POM_5V_GPU 82/102 POM_5V_CPU 164/464
